                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.5772,                 1.5666,                 1.6713,                 0.4216,                0.49485,                0.40426,                0.16234,                 2.1368,                 1.9221,                  2.073,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5574,                 1.5413,                 1.6585,                0.49973,                0.43299,                0.41196,                0.16763,                 2.1611,                 1.9181,                 2.0972,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.536,                 1.5356,                 1.6354,                0.46883,                0.43299,                0.39819,                0.15875,                 2.1425,                 1.9713,                 2.0625,               0.000317,               0.000317,               0.000317
                     87,                 1.5468,                 1.5424,                 1.6406,                0.48746,                0.53608,                0.45556,                0.17632,                 2.1305,                 1.8816,                 2.0345,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5112,                  1.518,                 1.6301,                0.50642,                0.49485,                0.42714,                0.18743,                 2.1308,                 1.9145,                  2.066,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5528,                 1.5265,                 1.6559,                0.42489,                0.53608,                0.44354,                0.18476,                 2.0911,                 1.9173,                 2.0187,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5217,                 1.5163,                 1.6361,                0.51187,                0.46392,                0.43708,                0.18912,                 2.0613,                 1.8854,                  1.992,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5416,                 1.5301,                 1.7228,                0.44965,                0.46392,                0.41783,                0.17196,                 2.0356,                 1.9577,                 1.9846,               0.000218,               0.000218,               0.000218
                     92,                 1.5016,                 1.4065,                 1.7012,                0.45777,                0.52577,                0.42504,                0.18837,                 2.0569,                 1.9235,                 1.9888,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4759,                 1.3644,                 1.7008,                0.51349,                0.43299,                0.42409,                0.18948,                 2.0877,                 1.9794,                 2.0192,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5069,                 1.3696,                 1.7319,                0.49198,                0.47926,                0.44035,                0.17971,                 2.0391,                 1.9769,                 1.9762,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4674,                 1.3063,                 1.6789,                0.51877,                0.45361,                0.42086,                0.18003,                 2.0573,                 1.9678,                 2.0037,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4555,                 1.2984,                 1.6756,                0.59537,                0.43299,                 0.4557,                0.19369,                 2.0704,                 1.9098,                 2.0162,               0.000119,               0.000119,               0.000119
                     97,                 1.4368,                 1.2769,                 1.6581,                 0.6163,                0.41237,                0.46436,                0.18916,                 2.1036,                 1.9218,                 2.0396,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4326,                 1.2681,                 1.6579,                0.48832,                0.48454,                0.47082,                0.18651,                 2.0855,                 1.9239,                 2.0203,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4178,                 1.2416,                 1.6231,                0.46142,                0.50515,                0.46272,                0.18607,                 2.0765,                  1.919,                 2.0137,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.4339,                 1.2426,                 1.6602,                0.60988,                0.39175,                0.44563,                0.18306,                 2.0745,                 1.9144,                 2.0162,               3.98e-05,               3.98e-05,               3.98e-05
